id,item,price,category,upvotes
1,Biryani,280,Desi,2
2,Daal Chawal,250,Desi,2
3,Chicken Burger,250,Fast Food,0
4,Pasta,300,Fast Food,0
5,Sandwich,100,Fast Food,4
6,Chai,100,Beverage,0
7,Zinger Burger,300,Fast Food,0
8,Roll,160,Fast Food,7
9,Pulao,250,Desi,0
10,Chicken Karahi,350,Desi,1
11,Beef Burger,320,Fast Food,0
12,French Fries,150,Snacks/Sides,0
13,Chicken Tikka,220,Desi,0
14,Samosa ,80,Snacks/Sides,0
15,Club Sandwich,280,Fast Food,0
16,Chicken Korma,300,Desi,0
17,Soft Drink,80,Beverage,0
18,Mineral Water,60,Beverage,0
19,Seekh Kebab ,300,Desi,0
20,Chicken Pizza (Small),400,Fast Food,0
21,Naan,30,Desi,0
22,Roti,25,Desi,0
23,Vegetable Roll,120,Fast Food,0
24,Lassi (Sweet),150,Beverage,0
25,Cold Coffee,200,Beverage,0
26,Kheer,150,Dessert,0
27,Gulab Jamun ,120,Dessert,0
28,Shami Kebab ,150,Desi,0
29,Haleem,300,Desi,0
30,Caesar Salad,350,Salad,0
31,Spring Roll ,180,Snacks/Sides,0
32,Chicken Nuggets ,250,Fast Food,0
33,Nihari,350,Desi,0
34,Fish and Chips,450,Fast Food,0
35,Pakora Plate,120,Snacks/Sides,0
36,Fruit Chaat,150,Snacks/Sides,0
37,Fresh Lime Soda,100,Beverage,0
38,Chocolate Brownie,180,Dessert,0
39,Ice Cream (Scoop),100,Dessert,0
40,Green Tea,60,Beverage,0
41,Chicken Chow Mein,300,Fast Food,0
42,Beef Pulao,280,Desi,0
43,Alfredo Pasta,350,Fast Food,0
44,Zinger Roll,200,Fast Food,0
45,Chapli Kebab ,250,Desi,0
46,Chicken Soup,150,Snacks/Sides,0
47,Gajar Halwa,180,Dessert,0
48,Chicken Manchurian,320,Fast Food,0
49,Egg Fried Rice,250,Fast Food,0
50,Mint Margarita,180,Beverage,0
